,mode,file,topic,assigned_label,diversity,coherence,total_samples,label_counts,Politics,Renewable,Nature,Activism,Fossil,Waste,Lifestyle,Weather,Disaster,Agriculture,Transportation,Electricity,Construction,Climate,Technology
154,multi_label,topic_1007.json,1007,Politics,8,0.432,20,"{'Politics': 16, 'Fossil': 1, 'Activism': 10, 'Nature': 3, 'Waste': 4, 'Weather': 1, 'Lifestyle': 1, 'Renewable': 1}",16,1,3,10,1,4,1,1,0,0,0,0,0,0,0
155,multi_label,topic_1008.json,1008,Politics,9,0.39,20,"{'Politics': 16, 'Activism': 7, 'Renewable': 6, 'Electricity': 7, 'Climate': 1, 'Fossil': 1, 'Construction': 1, 'Transportation': 1, 'Disaster': 1}",16,6,0,7,1,0,0,0,1,0,1,7,1,1,0
156,multi_label,topic_1009.json,1009,Politics,9,0.474,20,"{'Politics': 18, 'Waste': 1, 'Disaster': 1, 'Renewable': 8, 'Activism': 2, 'Construction': 2, 'Electricity': 4, 'Weather': 1, 'Transportation': 1}",18,8,0,2,0,1,0,1,1,0,1,4,2,0,0
157,multi_label,topic_1010.json,1010,Lifestyle,10,0.216,20,"{'Disaster': 3, 'Lifestyle': 8, 'Politics': 5, 'Fossil': 2, 'Weather': 7, 'Transportation': 3, 'Waste': 5, 'Renewable': 2, 'Nature': 1, 'Construction': 1}",5,2,1,0,2,5,8,7,3,0,3,0,1,0,0
158,multi_label,topic_1011.json,1011,Nature,5,0.5,20,"{'Nature': 10, 'Lifestyle': 3, 'Activism': 3, 'Renewable': 3, 'Technology': 1}",0,3,10,3,0,0,3,0,0,0,0,0,0,0,1
159,multi_label,topic_1012.json,1012,Politics,11,0.289,20,"{'Politics': 11, 'Activism': 7, 'Nature': 5, 'Agriculture': 6, 'Renewable': 3, 'Lifestyle': 1, 'Weather': 1, 'Disaster': 1, 'Waste': 1, 'Fossil': 1, 'Climate': 1}",11,3,5,7,1,1,1,1,1,6,0,0,0,1,0
160,multi_label,topic_1013.json,1013,Politics,9,0.286,20,"{'Renewable': 8, 'Lifestyle': 4, 'Politics': 10, 'Fossil': 3, 'Weather': 2, 'Nature': 2, 'Activism': 4, 'Electricity': 1, 'Waste': 1}",10,8,2,4,3,1,4,2,0,0,0,1,0,0,0
161,multi_label,topic_1014.json,1014,Politics,11,0.474,20,"{'Politics': 18, 'Climate': 3, 'Fossil': 4, 'Nature': 4, 'Activism': 2, 'Renewable': 2, 'Transportation': 1, 'Electricity': 1, 'Weather': 1, 'Agriculture': 1, 'Disaster': 1}",18,2,4,2,4,0,0,1,1,1,1,1,0,3,0
162,multi_label,topic_1015.json,1015,Nature,11,0.256,20,"{'Nature': 10, 'Agriculture': 2, 'Waste': 6, 'Activism': 9, 'Transportation': 1, 'Renewable': 3, 'Weather': 2, 'Disaster': 1, 'Politics': 3, 'Lifestyle': 1, 'Electricity': 1}",3,3,10,9,0,6,1,2,1,2,1,1,0,0,0
163,multi_label,topic_1016.json,1016,Renewable,7,0.386,20,"{'Politics': 12, 'Renewable': 17, 'Fossil': 2, 'Transportation': 9, 'Agriculture': 1, 'Waste': 1, 'Electricity': 2}",12,17,0,0,2,1,0,0,0,1,9,2,0,0,0
164,multi_label,topic_1017.json,1017,Renewable,8,0.35,20,"{'Politics': 7, 'Activism': 5, 'Agriculture': 4, 'Renewable': 14, 'Fossil': 4, 'Electricity': 3, 'Nature': 1, 'Disaster': 2}",7,14,1,5,4,0,0,0,2,4,0,3,0,0,0
165,multi_label,topic_1018.json,1018,Nature,9,0.395,20,"{'Renewable': 2, 'Nature': 15, 'Agriculture': 9, 'Activism': 2, 'Lifestyle': 1, 'Waste': 2, 'Disaster': 1, 'Politics': 3, 'Weather': 3}",3,2,15,2,0,2,1,3,1,9,0,0,0,0,0
166,multi_label,topic_1019.json,1019,Waste,7,0.5,20,"{'Waste': 13, 'Nature': 2, 'Renewable': 2, 'Lifestyle': 6, 'Technology': 1, 'Electricity': 1, 'Agriculture': 1}",0,2,2,0,0,13,6,0,0,1,0,1,0,0,1
167,multi_label,topic_1020.json,1020,Fossil,8,0.41,20,"{'Agriculture': 1, 'Waste': 2, 'Politics': 11, 'Fossil': 16, 'Renewable': 3, 'Electricity': 1, 'Activism': 4, 'Disaster': 1}",11,3,0,4,16,2,0,0,1,1,0,1,0,0,0
168,multi_label,topic_1021.json,1021,Politics,9,0.447,20,"{'Politics': 17, 'Weather': 4, 'Activism': 4, 'Disaster': 6, 'Waste': 2, 'Fossil': 2, 'Transportation': 1, 'Agriculture': 1, 'Climate': 1}",17,0,0,4,2,2,0,4,6,1,1,0,0,1,0
169,multi_label,topic_1022.json,1022,Construction,7,0.265,20,"{'Construction': 9, 'Nature': 5, 'Renewable': 5, 'Waste': 6, 'Lifestyle': 7, 'Fossil': 1, 'Politics': 1}",1,5,5,0,1,6,7,0,0,0,0,0,9,0,0
170,multi_label,topic_1023.json,1023,Politics,10,0.438,20,"{'Politics': 14, 'Weather': 1, 'Fossil': 2, 'Activism': 5, 'Renewable': 4, 'Disaster': 2, 'Agriculture': 1, 'Waste': 1, 'Transportation': 1, 'Nature': 1}",14,4,1,5,2,1,0,1,2,1,1,0,0,0,0
171,multi_label,topic_1024.json,1024,Renewable,10,0.2,20,"{'Lifestyle': 7, 'Weather': 3, 'Electricity': 5, 'Construction': 5, 'Renewable': 8, 'Transportation': 1, 'Waste': 7, 'Politics': 1, 'Activism': 2, 'Fossil': 1}",1,8,0,2,1,7,7,3,0,0,1,5,5,0,0
172,multi_label,topic_1025.json,1025,Renewable,11,0.25,20,"{'Politics': 5, 'Waste': 4, 'Renewable': 10, 'Fossil': 6, 'Electricity': 6, 'Disaster': 1, 'Lifestyle': 1, 'Weather': 1, 'Activism': 1, 'Nature': 1, 'Transportation': 4}",5,10,1,1,6,4,1,1,1,0,4,6,0,0,0
173,multi_label,topic_1026.json,1026,Fossil,5,0.275,20,"{'Politics': 6, 'Waste': 9, 'Fossil': 11, 'Renewable': 8, 'Activism': 6}",6,8,0,6,11,9,0,0,0,0,0,0,0,0,0
174,multi_label,topic_1027.json,1027,Transportation,9,0.447,20,"{'Transportation': 17, 'Waste': 3, 'Lifestyle': 6, 'Politics': 2, 'Fossil': 2, 'Renewable': 5, 'Electricity': 1, 'Construction': 1, 'Weather': 1}",2,5,0,0,2,3,6,1,0,0,17,1,1,0,0
175,multi_label,topic_1028.json,1028,Weather,5,0.645,20,"{'Weather': 20, 'Nature': 2, 'Disaster': 4, 'Waste': 4, 'Lifestyle': 1}",0,0,2,0,0,4,1,20,4,0,0,0,0,0,0
176,multi_label,topic_1029.json,1029,Nature,10,0.29,20,"{'Waste': 1, 'Agriculture': 7, 'Nature': 9, 'Weather': 3, 'Fossil': 2, 'Lifestyle': 4, 'Disaster': 1, 'Politics': 2, 'Activism': 1, 'Electricity': 1}",2,0,9,1,2,1,4,3,1,7,0,1,0,0,0
177,multi_label,topic_1030.json,1030,Waste,10,0.314,20,"{'Disaster': 4, 'Politics': 3, 'Waste': 11, 'Activism': 2, 'Nature': 5, 'Climate': 1, 'Lifestyle': 5, 'Fossil': 1, 'Weather': 2, 'Agriculture': 1}",3,0,5,2,1,11,5,2,4,1,0,0,0,1,0
178,multi_label,topic_1031.json,1031,Lifestyle,7,0.342,20,"{'Nature': 8, 'Weather': 11, 'Lifestyle': 13, 'Waste': 2, 'Disaster': 2, 'Agriculture': 1, 'Politics': 1}",1,0,8,0,0,2,13,11,2,1,0,0,0,0,0
179,multi_label,topic_1032.json,1032,Agriculture,7,0.381,20,"{'Agriculture': 16, 'Nature': 14, 'Activism': 4, 'Renewable': 2, 'Disaster': 3, 'Politics': 1, 'Waste': 2}",1,2,14,4,0,2,0,0,3,16,0,0,0,0,0
180,multi_label,topic_1033.json,1033,Renewable,8,0.325,20,"{'Renewable': 13, 'Waste': 8, 'Fossil': 2, 'Agriculture': 6, 'Politics': 4, 'Nature': 2, 'Transportation': 3, 'Activism': 2}",4,13,2,2,2,8,0,0,0,6,3,0,0,0,0
181,multi_label,topic_1034.json,1034,Politics,8,0.184,20,"{'Politics': 7, 'Fossil': 2, 'Renewable': 6, 'Lifestyle': 3, 'Agriculture': 6, 'Waste': 6, 'Activism': 4, 'Nature': 4}",7,6,4,4,2,6,3,0,0,6,0,0,0,0,0
182,multi_label,topic_1035.json,1035,Activism,7,0.364,20,"{'Lifestyle': 7, 'Activism': 12, 'Politics': 9, 'Fossil': 1, 'Nature': 2, 'Disaster': 1, 'Weather': 1}",9,0,2,12,1,0,7,1,1,0,0,0,0,0,0
183,multi_label,topic_1036.json,1036,Politics,11,0.351,20,"{'Renewable': 6, 'Fossil': 2, 'Politics': 13, 'Agriculture': 3, 'Activism': 1, 'Disaster': 3, 'Waste': 1, 'Electricity': 2, 'Nature': 4, 'Transportation': 1, 'Weather': 1}",13,6,4,1,2,1,0,1,3,3,1,2,0,0,0
184,multi_label,topic_1037.json,1037,Politics,7,0.621,20,"{'Renewable': 1, 'Politics': 18, 'Fossil': 1, 'Activism': 5, 'Disaster': 1, 'Nature': 1, 'Construction': 2}",18,1,1,5,1,0,0,0,1,0,0,0,2,0,0
185,multi_label,topic_1038.json,1038,Lifestyle,7,0.278,20,"{'Lifestyle': 10, 'Nature': 7, 'Disaster': 1, 'Activism': 7, 'Politics': 9, 'Climate': 1, 'Weather': 1}",9,0,7,7,0,0,10,1,1,0,0,0,0,1,0
186,multi_label,topic_1039.json,1039,Nature,9,0.353,20,"{'Activism': 7, 'Lifestyle': 5, 'Politics': 3, 'Nature': 12, 'Disaster': 2, 'Waste': 2, 'Climate': 1, 'Renewable': 1, 'Weather': 1}",3,1,12,7,0,2,5,1,2,0,0,0,0,1,0
187,multi_label,topic_1040.json,1040,Politics,8,0.405,20,"{'Fossil': 3, 'Politics': 15, 'Renewable': 13, 'Technology': 1, 'Lifestyle': 1, 'Agriculture': 2, 'Construction': 1, 'Nature': 1}",15,13,1,0,3,0,1,0,0,2,0,0,1,0,1
188,multi_label,topic_1041.json,1041,Politics,8,0.395,20,"{'Politics': 15, 'Disaster': 8, 'Activism': 10, 'Renewable': 1, 'Waste': 1, 'Weather': 1, 'Climate': 1, 'Fossil': 1}",15,1,0,10,1,1,0,1,8,0,0,0,0,1,0
189,multi_label,topic_1042.json,1042,Politics,7,0.522,20,"{'Activism': 2, 'Lifestyle': 4, 'Politics': 12, 'Fossil': 1, 'Nature': 1, 'Weather': 1, 'Renewable': 2}",12,2,1,2,1,0,4,1,0,0,0,0,0,0,0
190,multi_label,topic_1043.json,1043,Agriculture,8,0.457,20,"{'Agriculture': 16, 'Weather': 4, 'Nature': 3, 'Disaster': 6, 'Waste': 1, 'Lifestyle': 3, 'Renewable': 1, 'Fossil': 1}",0,1,3,0,1,1,3,4,6,16,0,0,0,0,0
191,multi_label,topic_1044.json,1044,Politics,6,0.459,20,"{'Politics': 17, 'Renewable': 9, 'Weather': 2, 'Activism': 4, 'Nature': 3, 'Fossil': 2}",17,9,3,4,2,0,0,2,0,0,0,0,0,0,0
192,multi_label,topic_1045.json,1045,Nature,9,0.375,20,"{'Disaster': 1, 'Nature': 15, 'Waste': 4, 'Agriculture': 11, 'Weather': 1, 'Activism': 2, 'Renewable': 4, 'Politics': 1, 'Lifestyle': 1}",1,4,15,2,0,4,1,1,1,11,0,0,0,0,0
193,multi_label,topic_1046.json,1046,Nature,8,0.364,20,"{'Nature': 8, 'Renewable': 3, 'Lifestyle': 5, 'Activism': 1, 'Transportation': 1, 'Agriculture': 1, 'Weather': 1, 'Waste': 2}",0,3,8,1,0,2,5,1,0,1,1,0,0,0,0
194,multi_label,topic_1047.json,1047,Renewable,5,0.591,20,"{'Renewable': 13, 'Activism': 1, 'Nature': 5, 'Politics': 2, 'Lifestyle': 1}",2,13,5,1,0,0,1,0,0,0,0,0,0,0,0
195,multi_label,topic_1048.json,1048,Politics,5,0.72,20,"{'Politics': 18, 'Fossil': 1, 'Lifestyle': 3, 'Activism': 2, 'Renewable': 1}",18,1,0,2,1,0,3,0,0,0,0,0,0,0,0
0,single_label,topic_0000.json,0,Politics,4,0.75,20,"{'Politics': 15, 'Activism': 1, 'Nature': 1, 'Disaster': 3}",15,0,1,1,0,0,0,0,3,0,0,0,0,0,0
